MFCC_Features,Emotion_Label
"[ 0.91491866 -0.37865    -0.31735766 -0.61311257  0.05895311 -0.4824113
 -0.5688056  -0.0331766  -1.7948617  -1.5049064  -1.5899622   0.7597127
  0.30009782]",Radosc
"[-0.8818898   0.02018818 -1.4934723   1.0656582   0.1630745  -0.48391387
 -2.6948037  -0.94083554 -0.14686733 -0.46602997 -0.54623556  0.02847879
  0.14360502]",Radosc
"[ 1.6078875  -0.08294725 -1.9959633   1.2972122  -0.6705615  -2.2742925
 -1.0855755  -2.845433   -0.64516616 -1.0318078  -2.5993893  -0.4797048
  0.39456934]",Radosc
"[ 0.2534752  -0.79806256  0.48978147  1.2161535   0.7984119   1.2021942
  1.0363338   1.1140233   1.0577203   1.5096499   0.41080076  0.9154294
  1.5214574 ]",Radosc
"[ 0.10180534 -0.1372603   0.20601356 -2.4985197  -0.32497385 -2.0174828
 -1.2069055  -1.1988163   0.45302698  1.0186075   0.22174732  1.7299769
  0.5278375 ]",Radosc
"[ 1.0326592  -0.908712   -1.227524    0.14698859  0.564273   -1.7541081
 -0.6254911  -0.6713284  -1.6664777   0.8360983  -0.7674445  -1.4636707
  0.69931346]",Radosc
"[-0.00590645  0.6115179   0.15972617 -0.14784302  0.81136864  0.3527204
  0.06640117 -0.3382519  -0.45291921  0.08837553 -0.14442803 -0.09384082
  0.4831193 ]",Radosc
"[ 0.6158392  -0.79063714 -0.3590603  -0.5775073  -0.65343475 -0.864501
  0.25641608  0.16798125 -1.8195122   0.09437383 -0.00890765 -1.5533353
  0.49124727]",Radosc
"[ 0.7593497   0.4856725  -0.399969   -1.7359688  -1.6984229   0.9557425
 -0.6016791  -0.09346323 -1.7275314  -1.7792113   2.5230331   0.8928272
  0.70541024]",Radosc
"[ 0.7729093  -0.1263431   1.4866576  -1.9328169  -0.42047426  0.37017646
 -1.1807337   0.5627968  -1.3756821   1.2961096   0.46906206 -0.44406843
 -0.0070709 ]",Radosc
"[ 1.2772392  -0.3738802  -2.0905557  -0.1204518  -1.4090923   0.21406275
 -1.2915735  -0.7253087   1.327044   -0.8874526   0.19497475 -2.0237212
  0.11142039]",Radosc
"[ 1.1707467   0.38341567  1.5055344  -1.5407248  -1.0562823  -0.02229663
  0.29203787 -0.02718179 -2.9773202   0.4913732  -0.45260715 -0.43501002
 -0.35537606]",Radosc
"[ 0.57906175 -0.60655403 -0.20417267 -0.5248948   0.74759895  0.11429027
 -0.28327256  0.07688036  0.2335097   0.24051557 -0.00655399 -0.38705838
 -0.22459024]",Radosc
"[ 0.66655314  0.14009233 -0.8707002  -0.06046089  0.47327623  1.226123
 -1.5270785  -0.57650787 -1.4274806  -1.2995017   1.1082519  -1.4854275
  1.1076984 ]",Radosc
"[ 0.07998002 -0.0511294   1.0340517  -2.1335406   0.16831191 -2.0371866
 -1.6898078  -1.0632029   0.942271   -0.07064057 -1.1883825   2.297294
  0.20235002]",Radosc
"[ 0.84371656 -0.887677   -0.9144837  -0.14466965  1.1824293  -0.78178936
  0.22454765 -0.76263416 -2.2068505   0.79562736 -0.84773874 -1.1666267
  1.1833528 ]",Radosc
"[ 0.25318733  0.75870734 -1.2096335   0.48434407 -1.67713    -1.2493763
 -0.17826805 -0.25531194  0.04942507 -2.7381933   0.9029551   1.1264603
 -2.0814145 ]",Radosc
"[ 0.60497564 -0.8771394  -1.6945918   0.24818636  0.3741029  -1.1711507
 -2.0452979  -1.4042826   0.7405354  -1.5502683  -1.2874622   0.20259066
 -1.7310406 ]",Radosc
"[ 1.1052902   0.511765    0.1841177   0.47653925  1.1566055  -0.05221827
  1.5836942   0.01811292 -0.67389125  1.3130726  -0.7747696   0.26454532
  0.9257269 ]",Radosc
"[ 0.46694085 -0.1502309  -1.4600545  -0.846913   -0.59775007 -1.6265931
  0.02905356 -0.63326246 -1.8261418  -0.77464753 -0.58533317  0.8638738
  0.20086792]",Radosc
"[ 1.5567299  -1.2648736  -1.5697917   1.080882   -1.9983422  -1.1563087
 -1.4292558  -0.4919739   1.2862478  -1.9861312  -0.22046155 -3.1832743
  0.48933637]",Radosc
"[-0.85238636 -0.14429152  0.19993594  1.3779436   0.49017295  2.2590554
 -0.7969534  -0.5067785   0.5160016   0.30165133 -1.3140584   1.2181706
  0.5528066 ]",Radosc
"[ 1.1233083  -0.6233277   0.08967512 -3.3474622  -1.2386421  -2.5791488
 -0.3456117  -0.05734362 -1.2142745   0.18359087 -0.7667983  -1.2743618
  0.09095486]",Radosc
"[ 0.15478139 -0.71091837 -1.0332656   0.9282627   0.7703586  -1.3775258
  0.2110307   0.29359508 -1.2963325   0.64276713 -0.41531935 -1.4385583
  1.2790179 ]",Radosc
"[ 0.93854225 -0.18509972 -0.40540844 -1.7210541  -0.34830338  0.988182
 -2.1313703  -0.7536563  -2.0375636  -1.7580304   1.5599446  -0.92275417
 -0.46587154]",Radosc
"[ 0.54924434 -1.0838783  -0.24803591 -0.3900724   0.12445574  0.32558826
  0.42054015  0.08580367  0.42139018  0.48545614  0.5962465  -0.09326677
  0.04804631]",Radosc
"[ 0.8767041   0.4841399  -1.1306305  -0.76765627  0.05170446  0.2747174
 -0.87500733 -0.8590975  -1.7168988  -1.5866017  -0.18783751 -0.9220716
 -0.61644423]",Radosc
"[ 0.2311187  -0.19278234  0.30576414  0.04211036  0.56410474  0.7037622
  0.08799583 -0.30145532  0.28509432  0.24797235  0.4856145   0.21111542
  0.23892687]",Radosc
"[ 0.5560578  -0.03201143 -0.2663367  -0.27783453 -0.6883139  -1.0124308
  1.3032873  -0.134641   -1.2010157   0.8875083   0.25899327 -0.5912769
  1.0286059 ]",Radosc
"[ 1.6129559   0.4227907  -1.5076094  -0.06776638 -0.78753835 -1.2789383
 -1.2543228  -0.9740474   0.86390376 -1.7561843  -1.4077104   1.0603778
 -1.1195469 ]",Radosc
"[-1.2546898   0.40206918  1.6501466   0.38539714  0.86800027  1.2568402
 -0.14075825 -0.43723187  0.76028657 -0.7883272  -1.4692262   2.968324
  0.6534993 ]",Radosc
"[ 0.8456348  -0.1247613   0.7004684  -1.2726973  -1.248349   -2.5839703
 -0.43382034 -0.05466154 -2.453823    0.27149528 -1.6328365  -0.9052407
 -0.1804696 ]",Radosc
"[ 1.2731988   0.6839908  -0.5643404   0.8155766   0.2956574  -0.08760901
  0.33214784 -0.4107579  -0.19071051  1.820879   -1.0181087   0.80258524
  0.7368886 ]",Radosc
"[ 0.9211015   0.11974698  1.0821489  -0.6714489  -0.7319267  -0.60130227
 -0.23510614  0.4235437  -2.7541218   0.2416028  -1.2853848  -0.3575372
  0.87858325]",Radosc
"[ 0.25532508  0.23083125 -0.26529673  0.34031177  1.6533083  -0.8509382
 -0.95259404 -1.1800139  -0.8255006  -0.43344885 -2.6467419  -1.062273
  0.67269605]",Radosc
"[ 1.2614876  -0.45567685  0.29962006 -0.67722356 -0.18305853 -0.10526861
 -1.6681234  -1.3039088  -1.7716061  -0.3810592  -1.3888398  -0.05732713
 -0.42550313]",Radosc
"[ 1.7550617e+00 -1.1161802e+00 -2.1749127e+00  7.6151574e-01
 -8.4444851e-01 -1.8657225e+00 -2.1635802e-03 -7.4060982e-01
  9.4028682e-01 -7.0915413e-01 -8.4281874e-01 -1.8300831e-01
 -8.0582255e-01]",Radosc
"[ 1.9130495  -0.85961413 -2.4802234  -0.11690521 -1.0051019  -1.8026714
 -1.4330405   0.34282145 -1.9281436   0.01446491 -2.4702475   1.0246867
  0.33928677]",Radosc
"[-0.09312086  0.13725612  0.13263762  1.0126158  -0.46578062 -1.6353366
 -1.5451295  -1.4069189   1.0127183  -0.7081081  -1.7087777   1.9026383
  1.0761133 ]",Radosc
"[ 0.21859324  0.6879113  -1.1693025   1.4817332  -0.07852773 -2.0896444
 -1.2443552  -2.1150537   0.65882194 -0.22281565 -0.26192322  2.337685
  0.2561832 ]",Radosc
"[ 1.1006575  -2.049556   -0.52933025  0.60147756  0.13937801 -1.5305121
 -0.50571406  0.5516484   0.06195244  0.67587715 -1.418968   -1.0432957
  0.8510077 ]",Radosc
"[-0.01976148  0.76325715  0.20021388  0.88774544  1.0193547   0.49863732
  1.3508177  -0.17742132 -0.25247663  0.9135974  -1.3726481   0.66483307
  0.03817888]",Radosc
"[ 1.9264452   0.8898423  -0.7219307   0.715428    0.96565723 -0.8430049
  0.28981453 -1.3304573  -0.8322011   1.7231982  -0.0773275  -0.03753855
  0.41986898]",Radosc
"[ 0.06264739  0.88461816  1.3947911  -0.8195463   0.03073226  0.3718505
  1.193966    2.2869632   0.71682775  1.6343471   1.5408328  -0.09038476
  0.19048427]",Radosc
"[ 0.8182751  -0.07753877 -1.5399913  -0.5630247  -0.4228104  -2.4961882
  0.20338047 -1.4577607  -1.0936484  -0.23037551 -0.40467408  0.6090216
 -0.5760453 ]",Radosc
"[-0.7195232   0.19685939 -0.4220222  -1.498611    1.5720131  -0.6927755
 -1.4505429  -0.411081   -0.03071347  0.38586015  1.7463508   0.11656507
  0.02911394]",Radosc
"[ 1.1282142  -1.1305473  -1.834892    0.2188401  -1.4546937  -0.22283842
 -0.47681278 -0.5960231   1.061183   -1.55192    -0.02928658 -1.4969395
 -0.39950204]",Radosc
"[ 0.9605544   0.2082279   0.21987225 -0.60534066 -0.31440362 -0.11891868
 -2.225208   -0.97857976 -1.2032061   0.17663394 -1.1867625   0.20794187
 -0.7245106 ]",Radosc
"[ 0.8897743  -0.22282201 -0.27322295 -1.71914    -0.98202455  0.8556302
 -0.84445745 -0.90569717 -2.3618112  -2.5033221   0.93858     0.03116244
 -0.49223134]",Radosc
"[ 0.77803475  0.5321411   1.4199356  -0.5581299  -0.06869729 -0.5497089
 -1.0637041   0.18971705 -1.6043764   0.39335948 -1.6745695  -0.01354132
  0.17537275]",Radosc
"[ 0.7149588   0.9760712  -0.26350677 -0.6556654  -0.4924121  -0.08948345
  0.8935944   0.04614419 -1.2235292   0.37750298  0.5706428  -0.37624308
  0.05024344]",Radosc
"[ 0.8308837  -0.10917752 -0.9690256  -1.0367408   0.5077109  -0.88184536
  0.15880036 -0.30746436 -0.78690577  0.50511926 -1.0391291  -0.66144747
  0.5207774 ]",Radosc
"[ 0.7706157  -0.83814913  0.01882454  0.6618603  -0.2948872  -0.82419014
  0.7368245   0.39202538 -1.6520859   0.83251965 -0.15669669 -0.9497192
  1.1184086 ]",Radosc
"[ 0.9522376   1.064908   -0.2953327   1.8381761   1.3009195   0.08771788
 -0.47019657  0.08366607 -0.6565792   1.1352308  -1.2898339   0.5960292
  0.3441628 ]",Radosc
"[ 1.1228412   0.84510714 -1.9434059   0.02929748 -1.1992061  -1.2778435
 -0.54414785 -0.3470203  -0.24237913 -1.3062472  -0.6115029  -0.42787024
 -0.74199563]",Radosc
"[ 1.2447246   0.726653   -1.7450083  -1.2847145  -0.89819366 -1.5355761
  0.3341006  -0.89445907 -1.3243834   0.10379572 -0.6965245   0.23356509
 -1.4803191 ]",Radosc
"[-0.1488462   0.42589653  1.1331764   0.02927313  0.06977323  0.39095655
  0.51614    -0.06849046 -0.45941165 -0.90512556 -0.17599544  0.363549
 -0.55779225]",Radosc
"[ 0.65073365  1.3344973  -0.07505691 -0.95408547 -0.5222967   0.34019163
  1.5753747   0.11659108 -1.1627802   2.2843578   0.1690881   0.02292586
  1.2166029 ]",Radosc
"[ 1.097774   -0.8681006  -1.1995673   0.32294735 -0.9268895  -1.4351999
  0.8493412  -1.4703636  -0.14788796 -0.639393   -0.43769574 -0.596876
 -1.2527983 ]",Radosc
"[ 0.39659417 -0.5438979  -0.40693605 -1.8533378   0.21834958 -1.3764226
 -1.6434089  -0.6872112   1.5078063   0.6584171  -0.18031383 -0.18409202
 -1.853248  ]",Radosc
"[ 0.56295276 -0.55526793 -0.3786185  -0.4561936   1.42308     0.18258286
 -0.5008785  -0.21023497  0.08460224  0.2357066   0.19621512 -1.0827116
 -0.49734944]",Radosc
"[ 0.9544991  -0.92160004 -0.28526622 -1.1601775  -0.72630125 -1.4877982
 -1.1774155  -0.5959347  -1.0357255  -0.8565465  -1.2146403  -0.8106896
  0.573845  ]",Radosc
"[ 0.9588968  -1.1961673  -1.2126889   0.23492107  0.03350927 -1.5663984
  0.10827291 -0.03459294 -0.19145618  0.33402804 -0.22383101 -0.80079865
  0.64335537]",Radosc
"[ 1.0835029  -1.2513006  -0.211229   -0.11640915 -1.2291105   1.9317499
 -1.0128287  -0.21132992 -1.3776301  -1.5222135   0.3644677   0.22623356
 -0.3344323 ]",Radosc
"[-1.2579083   0.2042195   1.4125451  -0.14473297  0.6207451   1.4627402
  0.01862502 -0.36606514 -0.06740043  0.23472215 -0.8948219   1.5320668
  0.669381  ]",Radosc
"[ 0.73186016 -1.5189395  -0.2551238   0.4339784  -0.78885376  0.2519966
 -0.26419327  0.7487769   1.1136428  -0.8652996   0.05925884 -0.9057552
  0.67766947]",Radosc
"[-0.72633123  0.03078286  0.78896827  0.7466654   0.570865    1.7300215
 -0.2012889  -0.7459064   0.34651476 -0.18405199 -0.869868    1.7689826
  0.22537103]",Radosc
"[ 1.6890723   0.00392369  0.61972946 -0.9413539   0.54025817 -0.49025843
 -1.1045605  -0.89583254 -1.8879582   0.58629656 -0.50508547 -1.1861329
 -0.74632794]",Radosc
"[-1.391135   -0.62885857  0.3034023   0.2469509   1.5312353  -0.47344995
 -1.2865638   0.44962668 -1.6843308  -0.68129146 -0.6650751   1.3010113
  1.5101812 ]",Radosc
"[ 1.079952    1.1149063   0.28235853  0.10332593  0.23054446 -0.42960423
  0.32219696 -0.832139   -2.4990468   1.250977   -2.1339426  -0.46719345
  0.21265455]",Radosc
"[ 0.00908967 -0.51462644 -1.1848462  -0.4589455   0.6971517  -0.8762778
 -1.2647171  -0.93960685  0.39067015 -0.2866841  -0.48758036  0.09480771
 -0.798918  ]",Radosc
"[ 0.09772108 -0.52057445 -0.90858936  0.516607   -0.5508826  -2.8580985
 -2.3731468  -0.478766    0.33818823  0.3431732  -0.3517754   1.3409158
 -0.191867  ]",Radosc
"[ 0.8073888   0.06304863 -0.0581201   1.0310293   0.8472593   0.5460084
  0.45001596 -0.19728287 -0.51332134  0.89961416 -1.1540397  -0.1158519
  0.17292973]",Radosc
"[ 0.03105946 -0.81485194 -1.0651271  -0.452604    0.23155376 -0.6802291
 -0.397219   -1.2389983   0.60427105 -0.9214904   0.27621394  1.2318084
 -2.6883485 ]",Radosc
"[ 6.5434539e-01  3.1591390e-04 -5.9653169e-01  2.4121909e-01
 -5.1804191e-01 -3.6103904e+00 -1.2629499e+00 -1.2876568e+00
  2.6351789e-01  4.6443030e-02 -7.3255950e-01  1.6320738e+00
  1.1617752e+00]",Radosc
"[ 0.4788499   0.3049197  -1.027891   -0.10371315 -0.9641106  -0.901066
 -0.5880572  -0.60871834 -1.0712831  -1.503525   -1.3038354   0.73820823
 -0.5148932 ]",Radosc
"[ 0.54859966  0.21251263  1.0745465   1.2928162   0.31144115  0.9389774
  0.9218586   1.4018935   0.6820578  -0.59724474  1.3784463   0.77425283
  0.38766748]",Radosc
"[ 0.58086544 -0.4944313  -0.51969457  0.24294612 -0.18955255 -3.8828225
 -2.1465895  -1.2551677   0.6122174   0.08934337 -2.0424483   2.28399
  0.76645964]",Radosc
"[ 0.2005627   0.98648375 -0.8444474   1.3580885   0.14176379 -1.9428841
 -1.0216913  -1.8325837  -0.49830484  0.23358904 -1.7660804   0.4438452
  0.38323772]",Radosc
"[ 0.48612878 -0.7477613  -1.8256979   0.20803945  0.23604266 -1.3223087
 -3.1569266  -0.09385803  0.9810843   0.08429036 -1.9679185   0.78628653
 -0.7406033 ]",Radosc
"[ 0.5919918  -1.938486    0.4972141  -1.295656   -0.8752313  -0.7914672
 -0.38326907  0.42443264 -0.8044608   1.1598899   0.7030503  -1.549707
  1.0317881 ]",Radosc
"[ 0.7459721  -0.6847493  -0.71972793 -0.64017195  0.14828433 -2.8691208
 -1.9314574  -0.750809   -2.6945326  -0.34418845 -2.1516883  -0.7188326
  1.4442526 ]",Radosc
"[ 1.1565994   0.7087038   0.4530903  -0.08266706  0.7021356   0.73851657
  0.60067874 -1.2028258  -0.90348303  0.48533672 -0.85504454 -0.6358243
 -1.2124826 ]",Radosc
"[-0.9752654  -0.28120694  0.52251256  0.9994389   0.7068441   1.5359789
 -1.271721   -0.9087145   1.6515218   0.27042535 -1.4345952   1.5246447
  0.84639627]",Radosc
"[ 1.2292539  -0.20486158  0.33716172 -1.1212187   0.41197196 -0.44389513
 -1.4053057  -1.3359535  -2.485266    0.9679958  -0.5402388  -0.83484566
 -0.18115641]",Radosc
"[ 1.5586357  -0.9777878  -1.4052811  -1.9190154  -0.38356298 -3.082282
 -2.2117999  -0.8467717  -1.5739566   0.23494458 -0.5524888  -0.99895674
  0.551016  ]",Radosc
"[ 1.710673   -0.8971269   0.6475257  -2.6268494  -0.6037328   0.6509309
  0.09106333 -0.13067558 -2.3672607  -2.607972    0.30636513  0.0668637
  0.33228937]",Radosc
"[-0.36594963 -1.3704702  -0.3362497  -0.5641624   1.1006618  -0.9883949
 -1.9585418  -0.09454618 -0.39105803 -0.835414    0.13905366  1.2400966
 -0.35485792]",Radosc
"[ 0.3162068  -0.18733107 -0.16823037 -0.8215502   0.70128894  0.51733047
 -0.58806413 -0.85200346 -0.736933    0.05327813 -1.0150793  -0.62189955
 -0.24625261]",Radosc
"[-0.9999073   0.1629705  -1.1449188   0.4344025   0.5087665  -0.7235497
 -0.9324893  -0.11543828 -0.66292745  0.2151031  -0.6258468  -0.1614956
  0.7224958 ]",Radosc
"[ 0.84966046  0.71802044 -0.20052034 -0.14713156  1.0437199  -0.9085564
 -1.7990295  -0.61339515 -1.4990288   0.38103348 -1.3473713  -1.4404423
  0.06976286]",Radosc
"[-0.8783052  -0.68979806  0.94527954  1.2600536   0.37966916  1.5951989
 -0.4387817  -0.40341714  0.4997075   0.7806464  -1.347816    1.1294208
  1.3408295 ]",Radosc
"[ 1.0451835   1.7720821   0.33104935 -1.3522059  -0.7257885  -0.47605252
  0.03613021 -0.65924174 -1.4037094   0.6642142   0.4900278   0.07474342
 -0.45685574]",Radosc
"[ 0.36853653  1.4731736   0.80760336  0.23884936  1.0397174   0.27284926
  1.1246309   2.1955962  -1.0031847  -1.1157252  -0.16465145  0.12142254
  0.9835895 ]",Radosc
"[-0.5897357  -0.17418627 -0.45526433 -0.15874505  0.28492373 -0.08707708
 -0.00165468 -0.40826213 -0.2568292   0.03855582  0.23792122 -0.2557451
 -0.5869448 ]",Radosc
