Features,Emotion
"[-2.85776855e+02  7.81749496e+01 -1.67498136e+00  1.34737253e+01
  7.92393923e+00 -4.84608507e+00 -1.19936914e+01 -1.43138103e+01
 -1.86219006e+01 -1.40900869e+01 -1.38779907e+01  5.05518866e+00
 -3.60665751e+00  6.02100468e+00  9.21994209e+00 -6.91932380e-01
  4.58913660e+00  5.29772282e+00 -8.34866333e+00  1.78016353e+00
  7.88388729e-01 -4.32330465e+00 -6.49585199e+00  9.61414158e-01
  1.14907622e+00  2.07962584e+00  7.83681989e-01  3.73231387e+00
  3.22126150e+00  5.35986853e+00  7.09326565e-01  3.12338829e+00
  1.07330167e+00  2.75662446e+00 -3.40904713e-01  4.92501545e+00
  3.75248718e+00  1.00569315e+01  6.81575871e+00  7.73448086e+00
  4.06474352e-01  2.34045982e-01  1.86238170e-01  2.04200104e-01
  3.31535667e-01  4.01870400e-01  4.28137124e-01  3.75910252e-01
  3.52136999e-01  3.66294533e-01  5.19941628e-01  4.95707035e-01
  1.84341689e+01  1.67284573e+01  2.22235814e+01  1.63196540e+01
  1.80029980e+01  2.00498415e+01  4.82988608e+01  4.74714007e+03
  1.61228725e-01]",radosc
"[-3.86738190e+02  8.62794266e+01 -1.83858070e+01  3.12244644e+01
  8.93640423e+00 -4.85787773e+00 -3.01692696e+01 -2.09528675e+01
 -8.53858471e+00 -7.26650715e+00 -8.76694870e+00  1.32926476e+00
 -4.42336798e+00  1.88548231e+00  2.77771568e+00 -7.69708920e+00
  2.33030617e-01 -5.25920093e-01 -3.97658288e-01  1.42394876e+00
  3.59987855e+00  9.02570724e+00  9.48823071e+00  1.37185469e+01
  7.30115509e+00  1.10610285e+01  3.61951256e+00  1.05968094e+01
  6.67799616e+00  3.44004560e+00  3.46354675e+00  5.11625290e+00
  7.03316545e+00  3.44546533e+00  1.71883655e+00  1.18932641e+00
  6.26241267e-01 -1.41021931e+00 -4.76593399e+00 -1.61461377e+00
  2.70574600e-01  3.25069606e-01  2.86463559e-01  3.00736964e-01
  2.31581286e-01  1.40900999e-01  1.30839378e-01  2.37491444e-01
  2.57444710e-01  1.86836138e-01  3.42560977e-01  3.38791430e-01
  1.71880879e+01  2.21021386e+01  2.45150699e+01  1.87396958e+01
  2.04136690e+01  1.90318393e+01  4.65486205e+01  3.26125372e+03
  7.55673363e-02]",radosc
"[-2.46839447e+02  8.41836929e+01 -2.55254498e+01  3.36728363e+01
  8.30218971e-01 -1.89092522e+01 -1.64116592e+01 -3.48840141e+01
 -1.15874453e+01 -1.09826660e+01 -1.88210697e+01 -1.26013005e+00
 -3.11362600e+00  7.00266540e-01  3.53598380e+00 -9.86503696e+00
 -1.05671716e+00  3.46497631e+00 -4.47456217e+00  9.30806923e+00
  6.10323858e+00  1.12449789e+01  2.34461765e+01  1.77357979e+01
  9.63953972e+00  1.24744625e+01  4.74375582e+00 -3.47120427e-02
  1.32764900e+00  1.64163780e+00 -1.18913615e+00 -2.66628838e+00
 -3.61751032e+00  2.96331882e+00 -2.30820751e+00 -3.29925358e-01
 -5.30465007e-01 -2.45518875e+00  4.93981123e-01  2.17738912e-01
  3.17982346e-01  5.23262560e-01  4.86431748e-01  2.51146823e-01
  1.98763400e-01  2.00230762e-01  1.98100001e-01  1.58686101e-01
  1.54372469e-01  1.73289508e-01  2.06913650e-01  2.53338754e-01
  1.61071133e+01  2.31404681e+01  2.43545946e+01  1.84588165e+01
  1.98708317e+01  2.51482268e+01  4.61766779e+01  3.19661458e+03
  6.94599454e-02]",radosc
"[-3.22942871e+02  6.96523972e+01  9.79325485e+00  3.28157501e+01
  1.51143560e+01  8.37515354e+00  1.72896123e+00 -5.92263460e+00
 -1.16826868e+00  5.71021128e+00 -4.08042240e+00  5.84862614e+00
  2.76741982e+00  3.60376620e+00  5.78595400e+00  7.96520650e-01
 -2.92820215e+00  3.21754360e+00 -2.91580391e+00 -2.45027447e+00
  2.88614869e+00  1.02420099e-01 -5.19900942e+00  3.40048718e+00
 -2.80657268e+00 -1.14532030e+00 -1.22728550e+00 -1.04807103e+00
 -1.55760837e+00  5.81243932e-01 -9.41046357e-01  1.01404250e+00
 -1.14905012e+00 -3.18398803e-01 -8.16934884e-01 -3.12703276e+00
 -2.47763252e+00  9.25094724e-01 -6.56525016e-01  5.16696692e+00
  5.69349945e-01  5.03380597e-01  5.48869312e-01  5.87496758e-01
  5.53348780e-01  4.53600198e-01  3.70929152e-01  3.48260075e-01
  3.80960196e-01  4.71845716e-01  5.28956652e-01  6.07206047e-01
  1.94653096e+01  1.31682452e+01  1.77527187e+01  1.57870271e+01
  1.72774706e+01  1.90384344e+01  4.62169860e+01  3.68815104e+03
  1.26701586e-01]",radosc
"[-3.31465088e+02  8.30800400e+01  5.76133871e+00 -6.46191311e+00
  4.19067526e+00 -1.68937397e+01 -1.74489326e+01 -2.28398628e+01
 -4.86810827e+00  2.48493290e+00 -5.00620127e+00  9.99906540e+00
 -2.41812086e+00  8.31157875e+00  5.26726127e-01  2.40161824e+00
  9.02148628e+00  1.00529737e+01  2.82216215e+00  7.90226984e+00
  4.00836372e+00  4.19699574e+00  8.77608299e+00  6.60670280e+00
  1.71344304e+00  5.13043308e+00  1.41497743e+00  4.01171112e+00
  6.23968744e+00  8.03271675e+00 -1.24129403e+00  2.95509124e+00
  8.32921416e-02  3.61581945e+00  1.03428590e+00  1.43570399e+00
 -9.96445894e-01  1.58811140e+00 -1.62465763e+00 -1.81293070e-01
  2.58868992e-01  2.86702186e-01  4.12676513e-01  4.47894603e-01
  2.85584867e-01  3.00270617e-01  3.04390103e-01  2.74919987e-01
  2.38819748e-01  2.39600584e-01  2.96315134e-01  3.33664775e-01
  1.78443961e+01  1.74956145e+01  2.04063687e+01  1.78616985e+01
  1.78918077e+01  1.80775756e+01  4.62347349e+01  4.77198041e+03
  1.70983693e-01]",radosc
"[-2.79161102e+02  6.74039764e+01 -1.46070795e+01  2.15107708e+01
  1.28376150e+01 -1.48267040e+01 -1.24783068e+01 -1.89815617e+01
 -1.78363781e+01  1.28617024e+00 -9.85019016e+00 -6.27382231e+00
 -1.52321589e+00  2.35888219e+00 -4.80094957e+00 -6.56073570e+00
 -7.55319214e+00  4.37110853e+00 -1.07160883e+01 -2.32708526e+00
 -8.06972122e+00 -5.20026970e+00 -5.71942234e+00 -3.45077133e+00
 -3.92839146e+00  6.35512257e+00  9.67166424e+00  1.54227037e+01
  1.56394501e+01  1.66410217e+01  4.42997551e+00  4.29383755e-01
 -1.77014005e+00  3.45313859e+00  3.27718306e+00  3.00403285e+00
  1.52662623e+00  3.04573625e-01  9.09780800e-01  7.03282535e-01
  4.03308481e-01  3.31119686e-01  2.66642779e-01  1.84616536e-01
  1.96014911e-01  2.63351411e-01  2.85879731e-01  3.22950631e-01
  4.56664592e-01  5.31370163e-01  6.53977215e-01  5.20850718e-01
  1.91816131e+01  1.94016361e+01  2.19541702e+01  1.79038451e+01
  1.89141590e+01  1.96989077e+01  4.76204960e+01  4.12892896e+03
  1.43935093e-01]",radosc
"[-3.37517334e+02  9.82953720e+01  5.10366440e+00  1.83933239e+01
  1.52403460e+01  1.70825386e+00 -6.56318378e+00 -1.65452785e+01
 -1.04111748e+01 -3.62504458e+00 -6.79933119e+00  7.05998421e-01
 -2.65149808e+00 -2.64022470e+00  7.01558352e-01 -5.29794037e-01
 -6.57717562e+00  3.15722203e+00 -5.86228609e+00 -4.60802937e+00
 -5.42135382e+00  1.74550664e+00 -6.85989094e+00 -1.82739389e+00
 -8.33915770e-01 -1.24121201e+00 -4.02355385e+00 -1.93995750e+00
 -1.80661154e+00 -2.70023251e+00 -2.02879190e+00  2.57306314e+00
 -3.06013107e+00 -4.85280514e-01 -3.46364045e+00 -1.30991566e+00
 -2.50219131e+00  2.80220556e+00  1.28566837e+00  4.59047461e+00
  4.57674563e-01  4.42608178e-01  4.48143333e-01  4.77292687e-01
  3.99529994e-01  3.56529921e-01  3.61701846e-01  3.83817613e-01
  3.97128016e-01  4.21154171e-01  3.90360653e-01  4.34097409e-01
  2.25292436e+01  1.59615583e+01  1.92335846e+01  1.56585819e+01
  1.74884216e+01  1.71752399e+01  4.67725003e+01  3.65164621e+03
  6.17187500e-02]",radosc
"[-3.02581909e+02  6.98032837e+01 -2.26751304e+00  1.38502026e+01
  9.96757150e-01 -7.84482861e+00 -4.93870878e+00 -1.28424444e+01
 -1.87727261e+01 -3.58564639e+00 -6.13569927e+00 -6.73069859e+00
 -2.60907960e+00 -3.11541796e+00 -4.13063860e+00 -9.33937728e-01
 -4.75547743e+00 -3.54965782e+00 -6.82653904e+00  2.37286139e+00
 -1.03745282e+00  5.02715921e+00  7.47824144e+00  1.29849844e+01
  1.04014559e+01  1.18910093e+01  7.94917965e+00  3.19188523e+00
 -5.18982887e-01  1.33915937e+00 -6.96621358e-01  3.71840739e+00
  1.26665044e+00  2.62002409e-01 -1.42710781e+00  1.09455299e+00
 -8.15092087e-01 -9.97250915e-01 -2.10347414e+00  2.13802910e+00
  4.96790975e-01  5.28328180e-01  4.27127093e-01  3.50144833e-01
  4.22099054e-01  3.06719720e-01  2.95057833e-01  3.51720929e-01
  4.04862404e-01  3.96176308e-01  3.88495654e-01  4.45874214e-01
  1.84466360e+01  1.76196344e+01  2.01494650e+01  1.93991235e+01
  1.85719527e+01  1.90814917e+01  4.67712300e+01  4.26495452e+03
  1.21909981e-01]",radosc
"[-2.94518158e+02  9.57381668e+01 -2.84876466e+00  1.60103297e+00
 -9.16459370e+00  6.44093370e+00 -1.22747335e+01 -1.47547760e+01
 -1.82099380e+01 -1.58917837e+01  6.26300192e+00  5.73345900e+00
 -1.49139798e+00 -3.53563595e+00  2.77205324e+00 -7.33245468e+00
 -7.85776234e+00  1.37444735e+00 -4.52614450e+00 -4.61470509e+00
 -3.00280952e+00  2.19373539e-01 -2.56033707e+00  7.55263031e-01
 -1.64317548e+00  8.74602222e+00  8.21796417e+00  1.41124125e+01
  1.01237030e+01  4.27772808e+00  8.84890079e-01  3.24165606e+00
 -6.91592872e-01  6.18837738e+00  2.41108799e+00  2.50948811e+00
 -1.99100852e+00  1.80656075e+00 -2.61191702e+00  1.67473197e+00
  4.38856214e-01  3.81585985e-01  3.85185242e-01  2.94399381e-01
  2.19401449e-01  2.35478595e-01  2.68457562e-01  3.31556231e-01
  3.48316669e-01  3.82857144e-01  5.65797627e-01  5.45111835e-01
  1.69107829e+01  1.61865518e+01  1.87096152e+01  1.76985424e+01
  1.80610207e+01  1.61756785e+01  4.78238671e+01  2.65931373e+03
  6.61477482e-02]",radosc
"[-2.93756256e+02  8.33018799e+01  2.39573689e+01 -4.80369627e-01
  3.26203966e+00  1.84525359e+00 -1.72251854e+01 -9.95457268e+00
 -1.60571346e+01  4.30763006e+00 -3.79512167e+00 -1.07854867e+00
 -5.20972109e+00 -2.45749044e+00  3.48121190e+00  1.66956210e+00
 -7.27831507e+00  1.88942158e+00 -5.62878132e+00 -5.22869635e+00
 -2.27817440e+00 -4.40682888e+00 -6.63227701e+00  3.31067872e+00
  3.84209371e+00  8.48727608e+00  8.03694820e+00  1.23789024e+01
  5.05166388e+00  3.89776731e+00 -2.06566167e+00  1.86018229e+00
 -2.09602261e+00  3.62557817e+00 -2.74533898e-01  2.59620577e-01
 -1.30406535e+00  1.07696640e+00  6.46486044e-01 -3.49087082e-02
  6.66297317e-01  4.84797299e-01  3.07584018e-01  2.02233210e-01
  1.77815452e-01  2.32795581e-01  3.03675771e-01  2.98505664e-01
  2.34142154e-01  2.87316680e-01  5.00016332e-01  7.08626747e-01
  1.71349072e+01  1.61812856e+01  1.86009346e+01  1.72438781e+01
  1.68473448e+01  1.76070246e+01  4.79731353e+01  4.44335938e+03
  1.40730794e-01]",radosc
